title,company,location,url,posted_date,job_type,eligibility,skills,source_id
Orchestrix: Newgen x AI Club IITM,"Indian Institute of Technology (IIT), Madras",Online,https://unstop.com/hackathons/orchestrix-newgen-x-ai-club-iitm-iit-madras-1717439,,Online,,"Quizzes & Treasure Hunt, Undergraduate, Postgraduate, Engineering Students",orchestrix-newgen-x-ai-club-iitm-iit-madras-1717439
ByteBattle Hackathon 2026,H & P Projects,Online,https://unstop.com/hackathons/bytebattle-hackathon-2026-h-p-projects-1717192,,Online,,"Software Development, Quizzes & Treasure Hunt, Undergraduate, Postgraduate",bytebattle-hackathon-2026-h-p-projects-1717192
IgniteX HackFest 2026,H & P Projects,Online,https://unstop.com/hackathons/ignitex-hackfest-2026-h-p-projects-1717162,,Online,,"Quizzes & Treasure Hunt, Everyone can apply",ignitex-hackfest-2026-h-p-projects-1717162
HackMatriX 2026 -  National Hackathon,"IEEE Computer Society MITS, Gwalior",Online,https://unstop.com/hackathons/hackmatrix-2026-24-hour-national-hackathon-ieee-computer-society-mits-gwalior-1701757,,Online,,"Software Development, Undergraduate, Postgraduate, Engineering Students",hackmatrix-2026-24-hour-national-hackathon-ieee-computer-society-mits-gwalior-1701757
FutureTech HackFest 2026,H & P Projects,Online,https://unstop.com/hackathons/futuretech-hackfest-2026-h-p-projects-1716746,,Online,,"Applied AI, Software Development",futuretech-hackfest-2026-h-p-projects-1716746
HackSynergy 2026,"Inderprastha Engineering College (IPEC), Ghaziabad",Online,https://unstop.com/hackathons/hacksynergy-2026-inderprastha-engineering-college-ipec-ghaziabad-1716413,,Open,,"Software Development, Undergraduate, Postgraduate, Engineering Students",hacksynergy-2026-inderprastha-engineering-college-ipec-ghaziabad-1716413
All India Hackathon,Axcentra,Online,https://unstop.com/hackathons/all-india-hackathon-axcentra-1703933,,Online,,"Software Development, Quizzes & Treasure Hunt, Everyone can apply",all-india-hackathon-axcentra-1703933
Code Build 1.0,Cobuild,Online,https://unstop.com/hackathons/code-build-10-cobuild-1703709,,Open,,"Software Development, Everyone can apply",code-build-10-cobuild-1703709
test,"KVG College of Engineering (KVGCE), Sullia, Karnataka",Online,https://unstop.com/hackathons/hacknova-2026-kvg-college-of-engineering-kvgce-sullia-karnataka-1715653,,Open,,"Applied AI, Data Science, Data Analysis, Software Development",hacknova-2026-kvg-college-of-engineering-kvgce-sullia-karnataka-1715653
NextGen Innovators Hackathon 2026,H & P Projects,Online,https://unstop.com/hackathons/nextgen-innovators-hackathon-2026-h-p-projects-1715619,,Online,,"Machine Learning Engineering, Applied AI, Everyone can apply",nextgen-innovators-hackathon-2026-h-p-projects-1715619
RealWorldIQ Challenge 2026,"Bansal Institute of Research, Technology & Science",Online,https://unstop.com/hackathons/realworldiq-challenge-2026-bansal-institute-of-research-technology-science-1715032,,Online,,"Data Science, Quizzes & Treasure Hunt, Undergraduate, Engineering Students",realworldiq-challenge-2026-bansal-institute-of-research-technology-science-1715032
Hackside Down - Hackathon For School Students,Falcon Sphere,Online,https://unstop.com/hackathons/hackside-down-falcon-sphere-1712468,,Open,,"Quizzes & Treasure Hunt, School Students",hackside-down-falcon-sphere-1712468
