title,company,location,url,posted_date,job_type,eligibility,skills,source_id
Branch Sales Executive,First Attempt Skills Training Pvt. Ltd.,In Office  |  Jaipur,https://unstop.com/jobs/branch-sales-executive-first-attempt-skills-training-pvt-ltd-1717889,"Jul 14, 2026",Full Time,,"B2B Sales, Fresher",branch-sales-executive-first-attempt-skills-training-pvt-ltd-1717889
Investment Advisor,Money Honey Financial Services,In Office  |  Mumbai,https://unstop.com/jobs/investment-advisor-money-honey-financial-services-1717879,"Jul 14, 2026",Full Time,,"Inside Sales, Business Development, Fresher",investment-advisor-money-honey-financial-services-1717879
Full Stack Engineer,ResuPulse,Work from Home,https://unstop.com/jobs/full-stack-engineer-resupulse-1717891,"Jul 14, 2026",Full Time,,"Full Stack Development, Fresher",full-stack-engineer-resupulse-1717891
Procurement Manager,ABHI FINE PRODUCTS,In Office  |  Coimbatore,https://unstop.com/jobs/procurement-manager-abhi-fine-products-1717850,"Jul 14, 2026",Full Time,,"Vendor Management, Fresher",procurement-manager-abhi-fine-products-1717850
Sales Executive Trainee,Shri Swami Samarth Industries LLP,In Office  |  Pune,https://unstop.com/jobs/sales-executive-trainee-shri-swami-samarth-industries-llp-1717845,"Jul 14, 2026",Full Time,1 -,"B2B Sales, Fresher, Experienced Professionals",sales-executive-trainee-shri-swami-samarth-industries-llp-1717845
Meta Ads Manager,Cityreach,In Office  |  Indore,https://unstop.com/jobs/meta-ads-manager-cityreach-1717829,"Jul 14, 2026",Full Time,,"Digital Marketing, Performance Marketing, Fresher",meta-ads-manager-cityreach-1717829
Marketing and Sales Manager,CARDIN,In Office  |  Wakad,https://unstop.com/jobs/marketing-and-sales-manager-cardin-1717796,"Jul 13, 2026",Full Time,,"General Marketing, Business Development, Fresher",marketing-and-sales-manager-cardin-1717796
Sales Executive,Persist Ventures,Work from Home,https://unstop.com/jobs/sales-executive-persist-ventures-1717799,"Jul 13, 2026",Full Time,,"Retail & B2C Sales, Others, Fresher",sales-executive-persist-ventures-1717799
Data Entry / MIS Executive,Gothwal Consultancy Private Limited,Work from Home,https://unstop.com/jobs/data-entry-mis-executive-gothwal-consultancy-private-limited-1717761,"Jul 13, 2026",Full Time,,"Others, Fresher, Experienced Professionals",data-entry-mis-executive-gothwal-consultancy-private-limited-1717761
Call Center Executive,Domestic Cluster Enterprise,Work from Home  | Pan India,https://unstop.com/jobs/call-center-executive-domestic-cluster-enterprise-1717589,"Jul 13, 2026",Full Time,,"Customer Support, Fresher, Closed",call-center-executive-domestic-cluster-enterprise-1717589
Operations Executive - Post-Sales,futureMBBS,In Office  |  Gurgaon,https://unstop.com/jobs/operations-executive-post-sales-futurembbs-1717579,"Jul 13, 2026",Full Time,,"Others, Fresher",operations-executive-post-sales-futurembbs-1717579
Inbound Telecaller Executive,Domestic Cluster Enterprise,Work from Home  | Pan India,https://unstop.com/jobs/inbound-telecaller-executive-domestic-cluster-enterprise-1716853,"Jul 12, 2026",Full Time,,"Customer Support, Fresher, Closed",inbound-telecaller-executive-domestic-cluster-enterprise-1716853
Business Analyst,Sustainify,In Office  |  Bangalore,https://unstop.com/jobs/business-analyst-sustainify-1716432,"Jul 11, 2026",Full Time,,"Business Analysis, Fresher, Experienced Professionals",business-analyst-sustainify-1716432
Customer Service Representative,Lyros Technologies,In Office  |  Bangalore,https://unstop.com/jobs/customer-service-representative-lyros-technologies-1715939,"Jul 11, 2026",Full Time,1 -,"Customer Support, Experienced Professionals, Fresher",customer-service-representative-lyros-technologies-1715939
Business Growth Executive - Noida,Next Art Creations,In Office  |  Noida,https://unstop.com/jobs/business-growth-executive-noida-next-art-creations-1715846,"Jul 11, 2026",Full Time,,"Business Development, Fresher",business-growth-executive-noida-next-art-creations-1715846
Business Growth Executive,Next Art Creations,In Office  |  East Delhi,https://unstop.com/jobs/business-growth-executive-next-art-creations-1715963,"Jul 11, 2026",Full Time,,"B2C Sales, Business Development, Fresher",business-growth-executive-next-art-creations-1715963
Telecaller Executive,futureMBBS,In Office  |  Gurgaon,https://unstop.com/jobs/telecaller-executive-futurembbs-1715954,"Jul 10, 2026",Full Time,1 -,"Sales, Inside Sales, B2C Sales",telecaller-executive-futurembbs-1715954
Business Development Associate,Tech Vedhu,In Office  |  Bangalore,https://unstop.com/jobs/business-development-associate-tech-vedhu-1716040,"Jul 10, 2026",Full Time,,"Business Development, Fresher",business-development-associate-tech-vedhu-1716040
International Voice Process Executive,Votiko,Work from Home,https://unstop.com/jobs/international-voice-process-executive-votiko-1715980,"Jul 10, 2026",Full Time,,"Customer Support, Client Servicing, HR Operations",international-voice-process-executive-votiko-1715980
Business Development Executive,PJN Technologies  Pvt Ltd,In Office  |  Bangalore,https://unstop.com/jobs/business-development-executive-pjn-technologies-pvt-ltd-1715956,"Jul 10, 2026",Full Time,,"Business Development, Fresher",business-development-executive-pjn-technologies-pvt-ltd-1715956
Graphic Designer,MGrow,In Office  |  Gurgaon,https://unstop.com/jobs/graphic-designer-mgrow-1715979,"Jul 10, 2026",Full Time,,"Graphic Design, Others, Fresher",graphic-designer-mgrow-1715979
Credit Analyst,Veeraraghavan & Co,"On Field  |  Pune, Chennai, Bangalore, Mumbai, Aurangabad",https://unstop.com/jobs/credit-analyst-veeraraghavan-co-1715886,"Jul 10, 2026",Full Time,,"Others, Fresher",credit-analyst-veeraraghavan-co-1715886
Inside Sales Executive,Emversity,In Office  |  Pimpri-Chinchwad,https://unstop.com/jobs/inside-sales-executive-emversity-1715841,"Jul 10, 2026",Full Time,,"Inside Sales, Fresher",inside-sales-executive-emversity-1715841
Sales & Marketing Executive,Mindful Automations Pvt. Ltd.,On Field  |  Bangalore,https://unstop.com/jobs/business-analyst-mindful-automations-pvt-ltd-1715844,"Jul 10, 2026",Full Time,1 -,"Business Analysis, Fresher, Experienced Professionals",business-analyst-mindful-automations-pvt-ltd-1715844
Client Consultation & Sales Executive,MarkAdup.in,Work from Home,https://unstop.com/jobs/client-consultation-sales-executive-markadupin-1715808,"Jul 10, 2026",Full Time,,"Client Servicing, Sales, Fresher",client-consultation-sales-executive-markadupin-1715808
Marketing Representative & Software Trainer,RM Infotech,"Hybrid  |  Madurai, Paramagudi, Ramanathapuram",https://unstop.com/jobs/marketing-representative-software-trainer-rm-infotech-1715805,"Jul 10, 2026",Full Time,1 -,"General Marketing, Fresher, Experienced Professionals",marketing-representative-software-trainer-rm-infotech-1715805
Operations Associate,Iteration67,Work from Home,https://unstop.com/jobs/operations-associate-iteration67-1712384,"Jul 10, 2026",Full Time,,"Business Operations, Operations, Fresher",operations-associate-iteration67-1712384
Sales Executive - Product Demo & Client Success,Easync Books Pvt Ldt,In Office  |  Noida,https://unstop.com/jobs/sales-executive-product-demo-client-success-easync-books-pvt-ldt-1715532,"Jul 10, 2026",Full Time,,"Sales, Fresher",sales-executive-product-demo-client-success-easync-books-pvt-ldt-1715532
Business Development Manager - Bangalore,KAS Home Elevator,In Office  |  Bangalore,https://unstop.com/jobs/business-development-manager-bangalore-kas-home-elevator-1715461,"Jul 10, 2026",Full Time,1 -,"Business Development, Fresher, Experienced Professionals",business-development-manager-bangalore-kas-home-elevator-1715461
